,id,session,target_name,utc_observed,receiver,ra_hrs,dec_deg,azimuth,elevation,skyfreq,restfreq,observer,target_id,TIC ID
8035,293381,AGBT21A_996_41,TIC438490744,2021-05-31 21:36:00,Rcvr4_6,6.68372631175746,16.589709974395376,243.00459882202148,53.32946128211212,5400000000.0,6500000000.0,OPERATOR,44015.0,438490744
8036,293383,AGBT21A_996_41,TIC438490744,2021-05-31 21:46:26,Rcvr4_6,6.68372561522021,16.589707372268172,245.77657600822448,51.4838439878006,5400000000.0,6500000000.0,OPERATOR,44015.0,438490744
8037,293385,AGBT21A_996_41,TIC438490744,2021-05-31 21:56:58,Rcvr4_6,6.68372509697529,16.589723960999166,248.392856325531,49.58081132731628,5400000000.0,6500000000.0,OPERATOR,44015.0,438490744
2461,58188,AGBT20A_999_41,TIC147950620,2020-06-14 20:37:06,Rcvr4_6,11.1880907317021,69.96478246214129,379.2008694070816,53.80060738883209,5400000000.0,6500000000.0,Bryan Brzycki,43810.0,147950620
2462,58190,AGBT20A_999_41,TIC147950620,2020-06-14 20:47:52,Rcvr4_6,11.1880909799547,69.96477679478274,378.11704775276183,54.47704440913391,5400000000.0,6500000000.0,Bryan Brzycki,43810.0,147950620
2463,58192,AGBT20A_999_41,TIC147950620,2020-06-14 20:58:30,Rcvr4_6,11.1880907839861,69.96477653321426,376.96278592529296,55.1063067372818,5400000000.0,6500000000.0,Bryan Brzycki,43810.0,147950620
193,46096,AGBT19B_999_114,TIC458478250,2019-11-24 23:54:33,Rcvr2_3,15.4764374438693,66.35871036923045,335.0081290878296,27.311964100219726,2400000000.0,2400000000.0,Julia DeMarines,44027.0,458478250
194,46098,AGBT19B_999_114,TIC458478250,2019-11-25 00:05:13,Rcvr2_3,15.4764406981893,66.3586943688303,335.7108034767151,26.439039176322936,2400000000.0,2400000000.0,Julia DeMarines,44027.0,458478250
195,46100,AGBT19B_999_114,TIC458478250,2019-11-25 00:15:51,Rcvr2_3,15.4764369366633,66.35871907412873,336.44172689094546,25.592941706993102,2400000000.0,2400000000.0,Julia DeMarines,44027.0,458478250
169,45994,AGBT19B_999_114,TIC344926234,2019-11-24 14:43:30,Rcvr2_3,10.1038305766987,3.9464932857242228,248.16324910297394,30.84466940722656,2400000000.0,2400000000.0,Julia DeMarines,43949.0,344926234
170,45996,AGBT19B_999_114,TIC344926234,2019-11-24 14:53:58,Rcvr2_3,10.10383121437,3.9464968589812273,250.2118881620407,28.92362839541626,2400000000.0,2400000000.0,Julia DeMarines,43949.0,344926234
171,45998,AGBT19B_999_114,TIC344926234,2019-11-24 15:04:36,Rcvr2_3,10.1038297024422,3.946500482803578,252.2241135515213,26.947140758850097,2400000000.0,2400000000.0,Julia DeMarines,43949.0,344926234
1601,52693,AGBT20A_999_21,TIC344926234,2020-04-18 05:04:20,Rcvr4_6,10.1038310593107,3.946487904947138,247.1237905878067,31.779896682121276,5400000000.0,6500000000.0,Bryan Brzycki,43949.0,344926234
1602,52695,AGBT20A_999_21,TIC344926234,2020-04-18 05:14:57,Rcvr4_6,10.1038306376117,3.946481861535187,249.23815986099243,29.845074480392455,5400000000.0,6500000000.0,Bryan Brzycki,43949.0,344926234
1603,52697,AGBT20A_999_21,TIC344926234,2020-04-18 05:25:26,Rcvr4_6,10.1038314699717,3.9464946248129054,251.25395258846282,27.907999223091124,5400000000.0,6500000000.0,Bryan Brzycki,43949.0,344926234
