,index,Target Name,Band,Time (UTC),RA (hrs),Dec ($^\circ$),Distance (pc),Orbital Period (days),TOI
0,0,TIC438490744,C,2021-05-31 21:36:00,6.68372631175746,16.589709974395376,63.0507,1.665878,529.01
1,1,TIC147950620,C,2020-06-14 20:37:06,11.1880907317021,69.96478246214129,149.667,2.310602,1194.01
2,2,TIC458478250,S,2019-11-24 23:54:33,15.4764374438693,66.35871036923045,126.261,2.255296,1165.01
3,3,TIC344926234,"S, C",2019-11-24 14:43:30,10.1038305766987,3.946493285724223,92.8368,0.49359,634.01
4,5,TIC78154865,S,2020-02-27 01:37:33,9.85782058050163,-4.123319468110526,96.6355,0.493826,638.01
5,6,TIC365781372,X,2019-11-30 05:03:30,5.461566558033,7.918525328278672,629.834,1.13889,627.01
6,7,TIC270468559,C,2020-09-11 19:08:16,9.02295269857044,6.097088971672627,405.238,4.641843,571.01
7,8,TIC121338379,S,2020-01-19 08:34:23,8.60604679550363,-3.860202132113647,188.364,0.275043,498.01
8,9,TIC375542276,L,2019-12-15 01:12:56,19.6061122793889,19.639227287465943,148.342,3.07765,1163.01
9,10,TIC468880077,C,2021-01-27 23:58:45,3.76697203856076,9.990308899509817,72.4646,5.8076,438.01
10,11,TIC459942762,X,2019-12-21 06:56:18,4.01855466881362,4.540889327272083,66.5727,0.58644,430.01
11,12,TIC280437559,X,2020-01-11 09:20:06,7.67577177770213,2.0986121971830447,77.2554,1.823737,969.01
12,13,TIC425206121,S,2020-01-19 03:44:44,7.43396329165058,7.615772707173612,300.276,4.611733,508.01
13,14,TIC178367144,S,2020-01-19 08:02:02,8.22614381412443,-1.9827820580119877,253.985,3.409244,966.01
14,15,TIC138168780,L,2021-03-29 18:57:58,6.31952907876321,73.82755828218563,235.479,3.764988,1651.01
15,16,TIC73104318,X,2020-02-10 04:40:25,4.11476971643187,58.465446518142265,201.645,7.45494,1674.01
16,17,TIC422756130,S,2020-05-25 18:35:02,1.46144453667847,72.29660210759923,45.1309,3.134319,1695.01
17,18,TIC285674856,X,2020-02-17 20:06:36,3.5464141394134,51.88450171735255,294.123,1.74626,1570.01
18,19,TIC241076290,S,2020-06-28 16:07:36,1.9355193080166,52.58547107129344,560.222,0.25792,1560.01
19,20,TIC348673213,C,2020-04-19 16:04:55,2.38714945336087,56.57002561420761,153.986,0.901465,1639.01
20,21,TIC292321872,L,2020-11-13 09:44:09,2.12680859184628,45.50016306427259,505.331,8.66698,1572.01
21,22,TIC294471966,C,2020-06-30 00:34:53,20.1334244960484,51.36180671114846,133.863,6.31719,1446.01
22,23,TIC409183335,L,2020-11-13 12:58:25,5.45384936298636,38.59745582029001,225.941,3.32125,1667.01
23,24,TIC286561122,C,2020-03-23 00:16:52,4.39174488908689,35.49511431975834,506.864,0.67994,1658.01
24,25,TIC311035838,S,2020-06-20 05:37:50,13.7395947733274,48.02856107028988,134.554,2.899733,1419.01
25,26,TIC327579226,X,2020-11-10 04:26:40,0.315744444192849,57.20064897905122,259.563,8.90592,1532.01
26,27,TIC365683032,"S, X",2020-04-18 08:56:14,20.8119923496448,51.910689183748886,245.776,1.42904,1354.01
27,29,TIC241040309,X,2020-07-18 13:06:04,1.38115501468146,48.955361570117326,685.251,3.46479,1559.01
28,30,TIC312862941,C,2020-04-20 00:22:34,1.02143170895734,55.69799903923379,126.283,0.915094,1638.01
29,31,TIC137881699,C,2020-09-11 23:33:26,10.0381703378227,53.95082987694592,935.456,2.972133,1781.01
30,32,TIC149833117,S,2020-06-05 04:12:55,6.97523195289374,67.67733005915717,188.086,4.052173,1717.01
31,33,TIC368536386,C,2020-09-14 07:13:56,5.96133865135112,36.76580926841724,428.948,1.69433,1666.01
32,34,TIC376682699,X,2020-11-08 15:36:12,22.6901455358783,69.07445014530218,544.233,1.10264,1511.01
33,35,TIC376637093,"C, X, S",2020-05-19 22:39:38,22.6723018813763,69.50372602126434,247.054,2.05603,1516.01
34,38,TIC327011842,X,2020-07-18 11:58:50,1.56445533525467,45.010328927714646,493.702,0.78424,1576.01
35,39,TIC44631965,C,2020-05-29 19:06:28,1.48242007922229,35.86484113045929,359.959,3.568678,1461.01
36,40,TIC142090065,X,2020-09-04 07:39:00,5.2715605717857,79.73772520961262,182.907,2.826937,1715.01
37,41,TIC198212955,C,2020-07-29 08:39:59,16.5702152275181,60.19589615282575,110.015,0.381481,1242.01
38,42,TIC138017750,S,2020-10-26 00:59:55,3.38673639298186,33.07814948858625,100.635,2.472722,1608.01
39,43,TIC26433869,X,2020-07-03 18:25:53,3.78761640025688,30.1495068601364,329.591,1.03578,1607.01
40,44,TIC353367071,C,2020-09-14 08:18:22,5.99564985739368,33.50698402129654,402.261,2.37532,1663.01
41,45,TIC272625214,C,2020-07-27 16:11:39,23.7545689866711,62.14267079463664,304.76,5.24666,1613.01
42,46,TIC129979528,X,2020-09-17 07:05:52,2.44751141593851,37.55044552834421,121.944,1.219868,1599.01
43,47,TIC341815767,X,2020-12-21 19:24:39,17.8346748311425,54.636147164681205,160.295,3.09374,1819.01
44,48,TIC457138169,C,2020-08-14 13:08:38,9.42452574155934,50.90886349825668,163.438,1.09254,1770.01
45,49,TIC371673488,X,2020-12-20 01:44:43,22.8822121332639,59.8509583493084,405.174,0.8158,1497.01
46,50,TIC15863518,X,2020-12-13 00:47:25,6.70136704191566,39.84291832422641,138.371,0.557201,1713.01
47,51,TIC389182138,C,2020-10-10 06:51:21,22.9089971066906,54.16180798193224,115.746,2.72687,1391.01
48,52,TIC235905185,X,2020-12-01 04:15:12,19.3918250789349,78.7542166464382,479.529,6.289555,1829.01
49,53,TIC191284318,X,2020-11-10 07:20:51,0.63819763047666,42.46306636290609,226.637,2.77598,1458.01
50,54,TIC358631536,S,2020-12-24 18:22:54,21.1716915583948,48.464279098725534,400.034,3.40304,1343.01
51,55,TIC274942910,S,2020-12-24 22:09:36,21.5284334863911,41.79747048718153,52.4946,1.07922,1325.01
52,56,TIC233720539,X,2021-01-14 01:44:22,18.4252810352284,63.48810973115104,617.233,2.55532,1815.01
53,57,TIC38686737,X,2021-01-14 05:19:18,3.8577048813217,-10.614093298635996,746.646,2.24704,432.01
54,58,TIC117979455,S,2021-01-17 05:29:19,4.78684783942261,-17.253361653834247,124.504,0.63322,422.01
