,target_name,receiver,StartObs,StartObs_max,TIC ID,session,ingress,egress,EndObs
0,TIC117979455,Rcvr2_3,2459231.732350659,2459231.7470372724,117979455,AGBT20B_996_03,2459231.710490241,2459231.7344902414,2459231.753981717
1,TIC121338379,Rcvr2_3,2458867.863173815,2458867.878035262,121338379,AGBT19B_999_132,2458867.859783085,2458867.891278919,2458867.8849797067
2,TIC129979528,Rcvr8_10,2459109.7998468224,2459109.8143733293,129979528,AGBT20B_999_18,2459109.74026643,2459109.8594436385,2459109.821317774
3,TIC13419950,Rcvr1_2,2459403.5385545953,2459403.5534740794,13419950,AGBT21A_996_45,2459403.448052492,2459403.591427492,2459403.560418524
4,TIC137881699,Rcvr4_6,2459104.478835285,2459104.4934771904,137881699,AGBT20B_999_15,2459104.3713204935,2459104.5688994937,2459104.500421635
5,TIC138017750,Rcvr2_3,2459148.5475043054,2459148.5622965507,138017750,AGBT20B_999_30,2459148.4809973924,2459148.5821286007,2459148.569240995
6,TIC138168780,Rcvr1_2,2459303.2906343355,2459303.3055176605,138168780,AGBT21A_996_20,2459303.205328692,2459303.3306633173,2459303.312462105
7,TIC142090065,Rcvr8_10,2459096.8187626633,2459096.833485667,142090065,AGBT20B_999_11,2459096.7698993552,2459096.8359546056,2459096.8404301116
8,TIC147950620,Rcvr4_6,2459015.3575663855,2459015.3724269453,147950620,AGBT20A_999_41,2459015.306774227,2459015.3724637683,2459015.3793713897
9,TIC149833117,Rcvr2_3,2459005.6726318942,2459005.6873537027,149833117,AGBT20A_999_39,2459005.5797379725,2459005.6887640143,2459005.694298147
10,TIC154741689,Rcvr4_6,2459290.790391082,2459290.8051474374,154741689,AGBT21A_996_14,2459290.715934156,2459290.8547258223,2459290.812091882
11,TIC15863518,Rcvr8_10,2459196.538969054,2459196.5534833637,15863518,AGBT20B_999_48,2459196.517959227,2459196.551486685,2459196.560427808
12,TIC178367144,Rcvr2_3,2458867.8408355736,2458867.855557979,178367144,AGBT19B_999_132,2458867.852270023,2458867.985771981,2458867.8625024236
13,TIC191284318,Rcvr8_10,2459163.8113357467,2459163.826080665,191284318,AGBT20B_999_35,2459163.724513322,2459163.8488466553,2459163.8330251095
14,TIC198211976,Rcvr2_3,2459435.614744276,2459435.6295357496,198211976,AGBT21B_999_02,2459435.5697612585,2459435.6355102165,2459435.636480194
15,TIC198212955,Rcvr4_6,2459059.861645208,2459059.8764365874,198212955,AGBT20A_999_57,2459059.8324651984,2459059.86863324,2459059.883381032
16,TIC233720539,Rcvr8_10,2459228.572895216,2459228.587686841,233720539,AGBT20B_996_02,2459228.4668416264,2459228.6817582934,2459228.5946312854
17,TIC235905185,Rcvr8_10,2459184.6793561555,2459184.6941709854,235905185,AGBT20B_999_44,2459184.5912374016,2459184.73120661,2459184.70111543
18,TIC240148934,Rcvr2_3,2459377.5012588976,2459377.516026931,240148934,AGBT21A_996_42,2459377.4565157997,2459377.564224133,2459377.5229713754
19,TIC241040309,Rcvr8_10,2459049.045561797,2459049.0604587565,241040309,AGBT20A_999_54,2459049.031019176,2459049.0730608427,2459049.067403201
20,TIC241076290,Rcvr2_3,2459029.169723539,2459029.1842845674,241076290,AGBT20A_999_47,2459029.156133955,2459029.1759256213,2459029.191229012
21,TIC26433869,Rcvr8_10,2459034.2644116404,2459034.2790884725,26433869,AGBT20A_999_50,2459034.2458366747,2459034.3050033418,2459034.286032917
22,TIC270468559,Rcvr4_6,2459104.2934755054,2459104.308059617,270468559,AGBT20B_999_15,2459104.257685668,2459104.4141023345,2459104.3150040614
23,TIC272625214,Rcvr4_6,2459058.175555962,2459058.1903715925,272625214,AGBT20A_999_56,2459058.1042858437,2459058.2449941766,2459058.197316037
24,TIC274942910,Rcvr2_3,2459208.4230783107,2459208.437753364,274942910,AGBT20B_999_52,2459208.38756192,2459208.4872702537,2459208.4446978085
25,TIC280437559,Rcvr8_10,2458859.8951405156,2458859.909654546,280437559,AGBT19B_999_130,2458859.8937294753,2458859.9498544754,2458859.9165989906
26,TIC285542903,Rcvr4_6,2459324.2397473436,2459324.254492469,285542903,AGBT21A_996_27,2459324.1626791684,2459324.2807208346,2459324.2614369136
27,TIC285674856,Rcvr8_10,2458897.3392399577,2458897.354169251,285674856,AGBT20A_999_07,2458897.251406662,2458897.4130733293,2458897.3611136954
28,TIC286561122,Rcvr4_6,2458931.5103952,2458931.6305694636,286561122,AGBT20A_999_15,2458931.4546608627,2458931.5341191962,2458931.637513908
