,row_num,target_name,obs_time,on_off,toi,filename,filepath,splice,turboSETI,runtime,outpath,band
0,0,TIC344926234,58811.6,ON,TIC344926234,spliced_blc0001020304050607_guppi_58811_53010_TIC344926234_0023.gpuspec.0000.fil,/mnt_bls8/datax3/collate/AGBT19B_999_114/spliced_blc0001020304050607_guppi_58811_53010_TIC344926234_0023.gpuspec.0000.fil,spliced,TRUE,38333.4,/datax/scratch/noahf/turboSETI-outFiles/TOI-TIC344926234/spliced_blc0001020304050607_guppi_58811_53010_TIC344926234_0023.dat,S-Band
1,1,HIP49458,58811.6,OFF,TIC344926234,spliced_blc0001020304050607_guppi_58811_53324_HIP49458_0024.gpuspec.0000.fil,/mnt_bls8/datax3/collate/AGBT19B_999_114/spliced_blc0001020304050607_guppi_58811_53324_HIP49458_0024.gpuspec.0000.fil,spliced,TRUE,33063.7,/datax/scratch/noahf/turboSETI-outFiles/TOI-TIC344926234/spliced_blc0001020304050607_guppi_58811_53324_HIP49458_0024.dat,S-Band
2,2,TIC344926234,58811.6,ON,TIC344926234,spliced_blc0001020304050607_guppi_58811_53638_TIC344926234_0025.gpuspec.0000.fil,/mnt_bls8/datax3/collate/AGBT19B_999_114/spliced_blc0001020304050607_guppi_58811_53638_TIC344926234_0025.gpuspec.0000.fil,spliced,TRUE,14296.4,/datax/scratch/noahf/turboSETI-outFiles/TOI-TIC344926234/spliced_blc0001020304050607_guppi_58811_53638_TIC344926234_0025.dat,S-Band
3,3,HIP49824,58811.6,OFF,TIC344926234,spliced_blc0001020304050607_guppi_58811_53957_HIP49824_0026.gpuspec.0000.fil,/mnt_bls8/datax3/collate/AGBT19B_999_114/spliced_blc0001020304050607_guppi_58811_53957_HIP49824_0026.gpuspec.0000.fil,spliced,TRUE,17835.3,/datax/scratch/noahf/turboSETI-outFiles/TOI-TIC344926234/spliced_blc0001020304050607_guppi_58811_53957_HIP49824_0026.dat,S-Band
4,4,TIC344926234,58811.6,ON,TIC344926234,spliced_blc0001020304050607_guppi_58811_54276_TIC344926234_0027.gpuspec.0000.fil,/mnt_bls8/datax3/collate/AGBT19B_999_114/spliced_blc0001020304050607_guppi_58811_54276_TIC344926234_0027.gpuspec.0000.fil,spliced,TRUE,49185.6,/datax/scratch/noahf/turboSETI-outFiles/TOI-TIC344926234/spliced_blc0001020304050607_guppi_58811_54276_TIC344926234_0027.dat,S-Band
5,5,HIP49692,58811.6,OFF,TIC344926234,spliced_blc0001020304050607_guppi_58811_54593_HIP49692_0028.gpuspec.0000.fil,/mnt_bls8/datax3/collate/AGBT19B_999_114/spliced_blc0001020304050607_guppi_58811_54593_HIP49692_0028.gpuspec.0000.fil,spliced,TRUE,41640.6,/datax/scratch/noahf/turboSETI-outFiles/TOI-TIC344926234/spliced_blc0001020304050607_guppi_58811_54593_HIP49692_0028.dat,S-Band
6,6,TIC365781372,58817.2,ON,TIC365781372,blc50_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc50/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP10/blc50_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,TRUE,342.809,/datax2/scratch/noahf/TOI-TIC365781372/blc50_guppi_58817_18210_TIC365781372_0056.dat,X-Band
7,7,TIC365781372,58817.2,ON,TIC365781372,blc51_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc51/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP11/blc51_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,TRUE,328.357,/datax2/scratch/noahf/TOI-TIC365781372/blc51_guppi_58817_18210_TIC365781372_0056.dat,X-Band
8,8,TIC365781372,58817.2,ON,TIC365781372,blc52_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc52/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP12/blc52_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,TRUE,311.787,/datax2/scratch/noahf/TOI-TIC365781372/blc52_guppi_58817_18210_TIC365781372_0056.dat,X-Band
9,9,TIC365781372,58817.2,ON,TIC365781372,blc53_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc53/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP13/blc53_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,TRUE,288.727,/datax2/scratch/noahf/TOI-TIC365781372/blc53_guppi_58817_18210_TIC365781372_0056.dat,X-Band
10,10,TIC365781372,58817.2,ON,TIC365781372,blc54_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc54/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP14/blc54_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,TRUE,294.321,/datax2/scratch/noahf/TOI-TIC365781372/blc54_guppi_58817_18210_TIC365781372_0056.dat,X-Band
11,11,TIC365781372,58817.2,ON,TIC365781372,blc55_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc55/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP15/blc55_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,TRUE,275.193,/datax2/scratch/noahf/TOI-TIC365781372/blc55_guppi_58817_18210_TIC365781372_0056.dat,X-Band
12,12,TIC365781372,58817.2,ON,TIC365781372,blc43_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc43/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP03/blc43_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,TRUE,270.096,/datax2/scratch/noahf/TOI-TIC365781372/blc43_guppi_58817_18210_TIC365781372_0056.dat,X-Band
13,13,TIC365781372,58817.2,ON,TIC365781372,blc40_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc40/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP00/blc40_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,TRUE,294.968,/datax2/scratch/noahf/TOI-TIC365781372/blc40_guppi_58817_18210_TIC365781372_0056.dat,IGNORE
14,14,TIC365781372,58817.2,ON,TIC365781372,blc41_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc41/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP01/blc41_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,TRUE,305.855,/datax2/scratch/noahf/TOI-TIC365781372/blc41_guppi_58817_18210_TIC365781372_0056.dat,X-Band
