Unnamed: 0,TARGET NAME,OBS TIME,ON / OFF,TOI,FILE NAME,FILE PATH,SPLICED?,TurboSETI?,Runtime,OUT PATH
0,TIC344926234,58811.61354,ON,TIC344926234,spliced_blc0001020304050607_guppi_58811_53010_TIC344926234_0023.gpuspec.0000.fil,/mnt_bls8/datax3/collate/AGBT19B_999_114/spliced_blc0001020304050607_guppi_58811_53010_TIC344926234_0023.gpuspec.0000.fil,spliced,False,,
1,HIP49458,58811.61718,OFF,TIC344926234,spliced_blc0001020304050607_guppi_58811_53324_HIP49458_0024.gpuspec.0000.fil,/mnt_bls8/datax3/collate/AGBT19B_999_114/spliced_blc0001020304050607_guppi_58811_53324_HIP49458_0024.gpuspec.0000.fil,spliced,False,,
2,TIC344926234,58811.62081,ON,TIC344926234,spliced_blc0001020304050607_guppi_58811_53638_TIC344926234_0025.gpuspec.0000.fil,/mnt_bls8/datax3/collate/AGBT19B_999_114/spliced_blc0001020304050607_guppi_58811_53638_TIC344926234_0025.gpuspec.0000.fil,spliced,False,,
3,HIP49824,58811.6245,OFF,TIC344926234,spliced_blc0001020304050607_guppi_58811_53957_HIP49824_0026.gpuspec.0000.fil,/mnt_bls8/datax3/collate/AGBT19B_999_114/spliced_blc0001020304050607_guppi_58811_53957_HIP49824_0026.gpuspec.0000.fil,spliced,False,,
4,TIC344926234,58811.62819,ON,TIC344926234,spliced_blc0001020304050607_guppi_58811_54276_TIC344926234_0027.gpuspec.0000.fil,/mnt_bls8/datax3/collate/AGBT19B_999_114/spliced_blc0001020304050607_guppi_58811_54276_TIC344926234_0027.gpuspec.0000.fil,spliced,False,,
5,HIP49692,58811.63186,OFF,TIC344926234,spliced_blc0001020304050607_guppi_58811_54593_HIP49692_0028.gpuspec.0000.fil,/mnt_bls8/datax3/collate/AGBT19B_999_114/spliced_blc0001020304050607_guppi_58811_54593_HIP49692_0028.gpuspec.0000.fil,spliced,False,,
6,TIC365781372,58817.21076,ON,TIC365781372,blc50_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc50/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP10/blc50_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,spliced,False,,
7,TIC365781372,58817.21076,ON,TIC365781372,blc51_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc51/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP11/blc51_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,False,,
8,TIC365781372,58817.21076,ON,TIC365781372,blc52_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc52/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP12/blc52_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,False,,
9,TIC365781372,58817.21076,ON,TIC365781372,blc53_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc53/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP13/blc53_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,False,,
10,TIC365781372,58817.21076,ON,TIC365781372,blc54_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc54/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP14/blc54_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,False,,
11,TIC365781372,58817.21076,ON,TIC365781372,blc55_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc55/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP15/blc55_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,False,,
12,TIC365781372,58817.21076,ON,TIC365781372,blc43_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc43/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP03/blc43_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,False,,
13,TIC365781372,58817.21076,ON,TIC365781372,blc40_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc40/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP00/blc40_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,False,,
14,TIC365781372,58817.21076,ON,TIC365781372,blc41_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc41/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP01/blc41_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,False,,
15,TIC365781372,58817.21076,ON,TIC365781372,blc42_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc42/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP02/blc42_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,False,,
16,TIC365781372,58817.21076,ON,TIC365781372,blc67_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc67/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP27/blc67_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,False,,
17,TIC365781372,58817.21076,ON,TIC365781372,blc66_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc66/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP26/blc66_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,False,,
18,TIC365781372,58817.21076,ON,TIC365781372,blc65_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,/mnt_blc65/datax/dibas.20191129/AGBT19B_999_117/GUPPI/BLP25/blc65_guppi_58817_18210_TIC365781372_0056.gpuspec.0000.fil,unspliced,False,,
